id_jugador;confederacion;pais;pais_iso_3;categoria;liga;equipo;nombre;ciudad_nacimiento;fecha_nacimiento;puesto;trayectoria
80;CONCACAF;CANADA;CAN;10;Manitoba Major Soccer League 7th Division;Argentinos FC;Leonardo Zimerman;;;;['Borussia Dortmund (CAN)', 'Argentinos FC (CAN)']
81;CONCACAF;CANADA;CAN;10;Manitoba Major Soccer League 7th Division;Argentinos FC;Ariel Glikman;;;;['Argentinos FC (CAN)']
82;CONCACAF;CANADA;CAN;10;Manitoba Major Soccer League 7th Division;Argentinos FC;Sebastian Szpajzer;;;;['Argentinos FC (CAN)']
83;CONCACAF;CANADA;CAN;10;Manitoba Major Soccer League 7th Division;Argentinos FC;Sebastian Levy;;;;['Argentinos FC (CAN)']
84;CONCACAF;CANADA;CAN;10;Manitoba Major Soccer League 7th Division;Argentinos FC;Marcelo Rivero;;;VOL;['Argentinos FC (CAN)']
85;CONCACAF;CANADA;CAN;10;Manitoba Major Soccer League 7th Division;Argentinos FC;Pablo Szajt;;;;['Argentinos FC (CAN)', 'Habitat for Insanity (CAN)', 'Borussia Dortmund (CAN)', 'Argentinos FC (CAN)']
86;CONCACAF;CANADA;CAN;10;Manitoba Major Soccer League 7th Division;Argentinos FC;Daniel Lichtensztejn;;;;['Argentinos FC (CAN)']
87;CONCACAF;CANADA;CAN;10;Manitoba Major Soccer League 7th Division;Argentinos FC;Hernan Biderman;;;;['Argentinos FC (CAN)']
88;CONCACAF;CANADA;CAN;10;Manitoba Major Soccer League 7th Division;Argentinos FC;Jaime Reinberg;;;;['Argentinos FC (CAN)']
89;CONCACAF;CANADA;CAN;10;Manitoba Major Soccer League 7th Division;Argentinos FC;Federico Lopez Ficher;;;;['Argentinos FC (CAN)']
90;CONCACAF;CANADA;CAN;10;Manitoba Major Soccer League 7th Division;Argentinos FC;Ezequiel Drucker;;;;['Argentinos FC (CAN)']
91;CONCACAF;CANADA;CAN;10;Manitoba Major Soccer League 7th Division;Argentinos FC;Sebastian Szajt;;;;['Argentinos FC (CAN)', 'Habitat for Insanity (CAN)', 'Argentinos FC (CAN)', 'Habitat for Insanity (CAN)', 'Argentinos FC (CAN)']
92;CONCACAF;CANADA;CAN;;Universitario;Alberta Olds Broncos;Mario Fabian Gromenica;;;VOL;['Alberta Olds Broncos (CAN)']
